Participante,Ordem,Classificação,Tempo Gasto
bc2584302fffead698e1809107a60040,70,negativa,1991
bc2584302fffead698e1809107a60040,71,neutra,2327
bc2584302fffead698e1809107a60040,72,positiva,1527
bc2584302fffead698e1809107a60040,73,negativa,34064
bc2584302fffead698e1809107a60040,74,negativa,10430
bc2584302fffead698e1809107a60040,75,neutra,3624
bc2584302fffead698e1809107a60040,76,neutra,3455
bc2584302fffead698e1809107a60040,77,neutra,2126
bc2584302fffead698e1809107a60040,78,positiva,3416
bc2584302fffead698e1809107a60040,79,positiva,2150
bc2584302fffead698e1809107a60040,80,positiva,7457
bc2584302fffead698e1809107a60040,81,neutra,2880
bc2584302fffead698e1809107a60040,82,positiva,2464
bc2584302fffead698e1809107a60040,83,negativa,1697
bc2584302fffead698e1809107a60040,84,negativa,1773
bc2584302fffead698e1809107a60040,85,positiva,1761
bc2584302fffead698e1809107a60040,86,negativa,5728
bc2584302fffead698e1809107a60040,87,negativa,4756
bc2584302fffead698e1809107a60040,88,negativa,2113
bc2584302fffead698e1809107a60040,89,neutra,2062
bc2584302fffead698e1809107a60040,90,positiva,1350
bc2584302fffead698e1809107a60040,91,neutra,5216
bc2584302fffead698e1809107a60040,92,negativa,1575
bc2584302fffead698e1809107a60040,93,negativa,6079
bc2584302fffead698e1809107a60040,94,positiva,3128
bc2584302fffead698e1809107a60040,95,neutra,4008
bc2584302fffead698e1809107a60040,96,negativa,2983
bc2584302fffead698e1809107a60040,97,negativa,1394
bc2584302fffead698e1809107a60040,98,negativa,1741
bc2584302fffead698e1809107a60040,99,neutra,2945
bc2584302fffead698e1809107a60040,100,negativa,4015
bc2584302fffead698e1809107a60040,101,negativa,3895
bc2584302fffead698e1809107a60040,102,positiva,1265
bc2584302fffead698e1809107a60040,103,neutra,2934
bc2584302fffead698e1809107a60040,104,positiva,3776
bc2584302fffead698e1809107a60040,105,negativa,5378
bc2584302fffead698e1809107a60040,106,positiva,3589
bc2584302fffead698e1809107a60040,107,neutra,4573
bc2584302fffead698e1809107a60040,108,neutra,1280
bc2584302fffead698e1809107a60040,109,positiva,2071
bc2584302fffead698e1809107a60040,110,positiva,1464
bc2584302fffead698e1809107a60040,111,neutra,3192
bc2584302fffead698e1809107a60040,112,positiva,3438
bc2584302fffead698e1809107a60040,113,positiva,1962
bc2584302fffead698e1809107a60040,114,positiva,1335
bc2584302fffead698e1809107a60040,115,positiva,4264
bc2584302fffead698e1809107a60040,116,neutra,2045
bc2584302fffead698e1809107a60040,117,positiva,3296
bc2584302fffead698e1809107a60040,118,neutra,4950
77da0ef6622c18e6a245f2609d5fc04b,4,negativa,74439
77da0ef6622c18e6a245f2609d5fc04b,5,negativa,9711
77da0ef6622c18e6a245f2609d5fc04b,6,neutra,5700
77da0ef6622c18e6a245f2609d5fc04b,7,positiva,7151
77da0ef6622c18e6a245f2609d5fc04b,8,negativa,11191
77da0ef6622c18e6a245f2609d5fc04b,9,negativa,6601
77da0ef6622c18e6a245f2609d5fc04b,10,negativa,13451
77da0ef6622c18e6a245f2609d5fc04b,11,positiva,4248
77da0ef6622c18e6a245f2609d5fc04b,12,negativa,11024
77da0ef6622c18e6a245f2609d5fc04b,13,neutra,14723
77da0ef6622c18e6a245f2609d5fc04b,14,neutra,10517
77da0ef6622c18e6a245f2609d5fc04b,15,negativa,15372
77da0ef6622c18e6a245f2609d5fc04b,16,negativa,8480
77da0ef6622c18e6a245f2609d5fc04b,17,neutra,5647
77da0ef6622c18e6a245f2609d5fc04b,18,neutra,28074
