Participante,Ordem,Classificação,Tempo Gasto
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,1,positiva,14.93
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,2,positiva,6.07
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,3,neutra,13.95
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,4,neutra,9.8
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,5,neutra,4.55
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,6,positiva,10.01
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,7,positiva,2.0
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,8,positiva,3.8
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,9,neutra,9.75
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,10,neutra,5.01
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,11,positiva,5.62
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,12,neutra,6.16
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,13,neutra,6.63
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,14,negativa,15.1
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,15,neutra,11.86
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,16,negativa,6.76
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,17,negativa,3.66
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,18,negativa,8.46
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,19,negativa,16.69
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,20,positiva,11.28
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,21,positiva,3.86
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,22,neutra,8.06
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,23,positiva,5.99
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,24,positiva,6.59
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,25,positiva,7.4
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,26,positiva,5.62
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,27,negativa,144.93
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,28,neutra,8.31
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,29,negativa,3.31
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,30,neutra,5.76
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,31,negativa,10.16
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,32,negativa,11.5
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,33,positiva,3.44
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,34,positiva,4.05
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,35,neutra,7.54
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,36,negativa,8.52
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,37,positiva,8.67
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,38,positiva,6.45
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,39,positiva,4.12
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,40,neutra,4.94
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,41,negativa,4.16
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,42,neutra,6.76
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,43,positiva,14.83
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,44,negativa,6.81
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,45,neutra,3.98
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,46,positiva,43.08
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,47,positiva,5.36
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,48,negativa,35.29
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,49,positiva,3.72
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,50,neutra,5.2
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,51,neutra,6.4
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,52,neutra,7.6
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,53,negativa,4.61
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,54,negativa,7.78
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,55,neutra,75.44
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,56,negativa,6.9
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,57,positiva,1.98
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,58,positiva,7.7
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,59,positiva,1.62
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,60,positiva,3.41
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,61,positiva,2.31
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,62,positiva,6.49
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,63,neutra,4.2
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,64,positiva,5.91
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,65,positiva,3.27
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,66,neutra,90.67
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,67,neutra,3.58
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,68,neutra,4.77
