ItemNumber, cla_maj_femi, qtd_maj_femi, cla_maj_masc, qtd_maj_masc, f1_class, f2_class, f3_class, f4_class, m1_class, m2_class, m3_class, m4_class, f1_tempo, f2_tempo, f3_tempo, f4_tempo, m1_tempo, m2_tempo, m3_tempo, m4_tempo
       702, negativa    ,            3, negativa    ,            4, negativa, negativa, negativa, neutra  , negativa, negativa, negativa, negativa,    4.499,    3.269,    1.59 ,    2.031,    2.076,    2.77 ,    2.533,    2.335
       703, neutra      ,            2, positiva    ,            3, neutra  , positiva, positiva, neutra  , positiva, positiva, positiva, neutra  ,    9.424,   10.361,    3.144,    7.223,    4.364,   14.272,    5.659,   11.615
       704, negativa    ,            2, negativa    ,            3, negativa, negativa, neutra  , neutra  , negativa, negativa, positiva, negativa,   15.274,   10.977,    6.363,    7.602,    8.76 ,   12.217,    5.827,    4.536
       705, neutra      ,            2, negativa    ,            3, neutra  , negativa, negativa, neutra  , negativa, neutra  , negativa, negativa,    4.106,    3.553,    2.102,    3.736,    1.795,    7.358,    3.12 ,    2.175
       706, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,    2.089,    2.619,    1.725,    2.501,    1.445,    3.585,    3.558,    1.311
       707, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,    5.083,    3.17 ,    1.827,    2.208,    1.722,    2.862,    2.324,    1.798
       708, positiva    ,            3, positiva    ,            3, positiva, positiva, positiva, neutra  , positiva, neutra  , positiva, positiva,    2.799,    4.788,    1.703,    2.677,    1.703,    9.018,    2.652,    1.647
       709, positiva    ,            3, positiva    ,            4, positiva, positiva, positiva, neutra  , positiva, positiva, positiva, positiva,    6.556,    6.624,    4.395,    4.058,   41.495,    3.522,   11.321,    4.375
       710, neutra      ,            4, neutra      ,            3, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , positiva, neutra  ,   13.036,   13.247,    4.6  ,    6.808,    8.711,    9.594,    7.496,    4.2
       711, negativa    ,            2, positiva    ,            2, positiva, negativa, neutra  , negativa, positiva, negativa, positiva, neutra  ,    5.893,    4.835,    3.567,    4.521,   21.685,    5.845,    4.939,    2.679
       712, neutra      ,            2, negativa    ,            3, neutra  , negativa, negativa, neutra  , negativa, neutra  , negativa, negativa,    5.975,    2.518,    4.008,    3.659,    2.342,    4.721,    2.191,    2.327
       713, neutra      ,            3, positiva    ,            2, neutra  , positiva, neutra  , neutra  , positiva, neutra  , positiva, negativa,   10.479,   10.028,    5.299,    4.056,    6.331,   21.23 ,    6.021,    6.008
       714, positiva    ,            4, positiva    ,            4, positiva, positiva, positiva, positiva, positiva, positiva, positiva, positiva,    5.286,    3.604,   17.204,    3.162,    4.491,    3.907,    3.139,    2.919
       715, negativa    ,            2, negativa    ,            2, negativa, neutra  , negativa, neutra  , negativa, negativa, neutra  , neutra  ,    6.825,    7.525,    3.118,    6.725,    4.95 ,    4.879,    6.245,    2.753
       716, neutra      ,            2, positiva    ,            3, neutra  , neutra  , positiva, positiva, positiva, positiva, neutra  , positiva,    8.11 ,   16.368,    2.749,    4.794,    2.384,    5.865,   19.278,    2.487
       717, neutra      ,            2, positiva    ,            3, neutra  , positiva, positiva, neutra  , positiva, neutra  , positiva, positiva,    4.975,    5.905,    2.347,    2.273,    2.534,    2.949,    2.363,    1.527
       718, positiva    ,            3, positiva    ,            3, neutra  , positiva, positiva, positiva, positiva, neutra  , positiva, positiva,    2.358,    4.336,    2.391,    1.986,    1.84 ,    2.483,    1.745,    1.465
       719, positiva    ,            4, positiva    ,            4, positiva, positiva, positiva, positiva, positiva, positiva, positiva, positiva,    8.839,    5.105,    1.96 ,    3.219,    1.734,    4.872,    2.567,    2.359
       720, positiva    ,            3, positiva    ,            4, positiva, positiva, positiva, neutra  , positiva, positiva, positiva, positiva,    4.577,    4.186,    2.656,    5.551,    3.254,    5.097,    2.768,    2.52
       721, positiva    ,            2, positiva    ,            2, positiva, positiva, negativa, neutra  , positiva, neutra  , negativa, positiva,    4.51 ,    3.252,    5.509,    9.328,    7.39 ,    5.455,    4.343,    3.191
       722, positiva    ,            4, positiva    ,            4, positiva, positiva, positiva, positiva, positiva, positiva, positiva, positiva,    3.652,    3.469,    1.989,    3.797,    1.725,    3.144,    2.434,    1.184
       723, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,    3.924,    5.413,    2.195,    3.271,   21.5  ,    5.446,    2.801,    2.655
       724, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,    7.258,    5.414,    2.44 ,    5.524,    5.149,    7.115,   11.408,    3.216
       725, positiva    ,            2, positiva    ,            2, positiva, positiva, negativa, negativa, positiva, positiva, negativa, negativa,    7.082,    6.424,    4.508,    8.805,    5.977,    7.03 ,   11.466,    6.631
       726, positiva    ,            2, positiva    ,            3, positiva, positiva, neutra  , neutra  , positiva, neutra  , positiva, positiva,    3.091,    4.286,    3.056,    2.247,    6.51 ,    8.472,    2.211,    3.135
       727, negativa    ,            3, negativa    ,            3, positiva, negativa, negativa, negativa, neutra  , negativa, negativa, negativa,   16.975,   15.533,    1.939,    8.095,   13.725,    4.538,    2.947,    8.398
       728, positiva    ,            2, positiva    ,            2, positiva, neutra  , positiva, neutra  , positiva, neutra  , neutra  , positiva,    7.199,    5.775,    5.514,    2.216,    5.55 ,    6.711,    3.867,    2.752
       729, negativa    ,            3, negativa    ,            2, negativa, negativa, negativa, neutra  , positiva, neutra  , negativa, negativa,    8.684,    6.389,    3.627,    5.362,    3.502,    9.804,    3.303,    2.832
       730, positiva    ,            2, positiva    ,            4, positiva, negativa, positiva, neutra  , positiva, positiva, positiva, positiva,    6.631,    7.024,    4.125,    4.776,   12.699,    5.077,    4.539,    7.863
       731, positiva    ,            2, positiva    ,            2, positiva, positiva, neutra  , neutra  , positiva, neutra  , positiva, neutra  ,    6.288,    6.374,    3.722,    4.755,    5.025,    5.651,    4.207,    3.183
       732, neutra      ,            3, positiva    ,            4, positiva, neutra  , neutra  , neutra  , positiva, positiva, positiva, positiva,    2.415,    4.136,    2.054,    3.796,    1.439,    2.514,    1.997,    1.759
       733, neutra      ,            4, neutra      ,            3, neutra  , neutra  , neutra  , neutra  , positiva, neutra  , neutra  , neutra  ,    7.04 ,    5.222,    3.546,    4.339,    4.064,    7.748,   14.467,    3.904
       734, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,    6.163,    7.107,    1.801,    5.164,    4.973,    4.847,    3.453,    2.854
       735, negativa    ,            3, negativa    ,            3, negativa, negativa, negativa, neutra  , negativa, negativa, positiva, negativa,    7.153,    6.807,   39.616,    2.496,    3.04 ,    5.582,    2.909,    3.887
       736, negativa    ,            3, negativa    ,            4, negativa, negativa, negativa, neutra  , negativa, negativa, negativa, negativa,    4.6  ,    3.852,    2.184,    2.85 ,    1.837,    4.518,    3.103,    1.919
       737, negativa    ,            2, positiva    ,            2, negativa, negativa, neutra  , neutra  , positiva, neutra  , positiva, neutra  ,    5.691,    6.439,    4.231,    5.222,    3.148,    8.312,    4.113,    6.383
       738, neutra      ,            2, positiva    ,            3, neutra  , positiva, positiva, neutra  , positiva, neutra  , positiva, positiva,    5.432,    3.121,    3.397,    2.724,    2.01 ,    2.6  ,    1.945,    2.6
       739, negativa    ,            3, negativa    ,            3, negativa, negativa, negativa, neutra  , negativa, negativa, neutra  , negativa,    7.964,    6.736,    4.002,    5.033,    3.481,   11.335,    5.867,    4.8
       740, neutra      ,            2, neutra      ,            4, neutra  , positiva, positiva, neutra  , neutra  , neutra  , neutra  , neutra  ,    4.092,    3.986,    4.201,    1.914,   62.796,    2.807,    2.903,    1.945
       741, neutra      ,            3, neutra      ,            4, neutra  , positiva, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  ,    2.934,    3.368,    2.202,    1.409,    2.276,    3.724,    2.057,    1.88
       742, positiva    ,            4, positiva    ,            4, positiva, positiva, positiva, positiva, positiva, positiva, positiva, positiva,   12.879,   10.529,    4.301,   19.355,    2.999,    6.674,   13.898,    4.414
       743, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,    4.711,    5.206,    4.486,    4.727,    2.445,    3.992,    5.638,    3.712
       744, negativa    ,            3, positiva    ,            2, negativa, negativa, positiva, negativa, positiva, neutra  , neutra  , positiva,   10.741,    7.824,    2.277,   16.665,   10.319,   10.038,   10.094,    4.367
       745, neutra      ,            4, neutra      ,            2, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , positiva, positiva,    6.976,    6.991,    4.43 ,   11.706,    7.636,   14.336,    4.382,    3.679
       746, positiva    ,            3, positiva    ,            3, positiva, positiva, negativa, positiva, positiva, positiva, negativa, positiva,    5.528,    6.622,    4.924,    2.876,    2.936,    4.256,    6.172,    3.543
       747, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, negativa, negativa, neutra  ,    5.375,    6.211,    3.166,    4.412,    3.237,    4.514,    6.771,    2.568
       748, negativa    ,            3, negativa    ,            4, negativa, negativa, negativa, neutra  , negativa, negativa, negativa, negativa,    1.981,    4.231,    2.326,    3.415,    2.27 ,    3.05 ,    4.043,    2.079
       749, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,    1.796,    2.468,   12.057,    2.745,    2.279,    2.548,    1.503,    1.439
       750, negativa    ,            3, neutra      ,            3, negativa, negativa, negativa, neutra  , negativa, neutra  , neutra  , neutra  ,    6.096,    5.256,    3.88 ,    6.863,   11.304,   12.275,    4.729,    4.096
       751, negativa    ,            2, negativa    ,            3, negativa, neutra  , negativa, neutra  , negativa, negativa, neutra  , negativa,   11.891,   22.38 ,   14.699,   59.664,   10.271,   14.82 ,    5.776,   74.463
       752, positiva    ,            4, positiva    ,            4, positiva, positiva, positiva, positiva, positiva, positiva, positiva, positiva,    8.231,    5.017,    6.048,    3.938,    3.342,    4.638,    3.348,    5.827
       753, positiva    ,            3, positiva    ,            2, neutra  , positiva, positiva, positiva, positiva, neutra  , positiva, neutra  ,    2.966,    3.934,    1.921,    2.891,    1.572,    1.949,    1.415,    1.856
       754, neutra      ,            2, neutra      ,            3, neutra  , positiva, negativa, neutra  , neutra  , neutra  , neutra  , positiva,    5.522,    6.588,    5.986,    3.617,    5.801,    4.67 ,    4.84 ,    3.583
       755, neutra      ,            4, positiva    ,            2, neutra  , neutra  , neutra  , neutra  , positiva, neutra  , positiva, neutra  , 1720.789,   19.874,    7.381,   11.929,    9.828,    5.673,    9.037,    9.175
       756, negativa    ,            3, negativa    ,            4, negativa, positiva, negativa, negativa, negativa, negativa, negativa, negativa,    7.947,    7.219,   10.231,    5.824,   34.129,   11.021,    6.855,   10.422
       757, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,    4.024,   15.397,    6.807,    6.14 ,    3.944,   12.036,    4.974,    2.111
       758, neutra      ,            3, positiva    ,            3, positiva, neutra  , neutra  , neutra  , positiva, neutra  , positiva, positiva,   17.653,   14.866,   12.091,   10.211,   19.681,   20.341,    5.333, 2276.727
       759, positiva    ,            3, positiva    ,            4, positiva, positiva, positiva, neutra  , positiva, positiva, positiva, positiva,    5.826,    2.833,    2.414,  152.783,    4.648,    2.708,    3.009,    1.74
       760, negativa    ,            2, negativa    ,            2, negativa, negativa, neutra  , neutra  , neutra  , negativa, negativa, positiva,    3.554,    5.036,    6.627,    5.57 ,    5.122,    6.582,    2.77 ,    2.768
       761, neutra      ,            2, positiva    ,            3, neutra  , positiva, positiva, neutra  , positiva, positiva, positiva, neutra  ,   10.11 ,   15.816,    5.488,    5.224,    5.67 ,    5.84 ,    2.604,    4.175
       762, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,    2.54 ,    3.084,    2.86 ,    2.232,    2.074,    4.781,    2.466,    2.024
       763, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,    5.208,    6.605,    4.27 ,    5.294,    5.513,    6.359,    4.071,    4.608
       764, positiva    ,            4, positiva    ,            4, positiva, positiva, positiva, positiva, positiva, positiva, positiva, positiva,    4.45 ,    4.57 ,    3.704,    4.347,   10.57 ,    4.058,    2.164,    2.157
       765, positiva    ,            2, negativa    ,            3, positiva, negativa, negativa, positiva, negativa, positiva, negativa, negativa,    5.67 ,    3.735,    2.688,    9.454,    4.367,   23.105,    2.104,    2.28
       766, negativa    ,            3, negativa    ,            4, negativa, neutra  , negativa, negativa, negativa, negativa, negativa, negativa,   11.269,   11.562,    3.855,    4.862,    8.367,    8.201,    4.281,    5.609
       767, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,   12.349,   11.946,    5.895,   10.146,    3.809,   12.835,    8.071,    6.798
       768, positiva    ,            4, positiva    ,            4, positiva, positiva, positiva, positiva, positiva, positiva, positiva, positiva,   49.044,    5.104,    2.537,    5.852,    2.356,    3.404,    8.451,    3.032
       769, positiva    ,            2, negativa    ,            4, positiva, negativa, negativa, positiva, negativa, negativa, negativa, negativa,   13.902,   10.992,    4.532,   10.063,   33.406,   31.786,   18.089,    7.007
       770, neutra      ,            3, positiva    ,            3, neutra  , neutra  , positiva, neutra  , neutra  , positiva, positiva, positiva,    5.781,   12.38 ,    5.47 ,    7.494,    8.838,    6.363,    2.898,    3.375
       771, positiva    ,            3, positiva    ,            4, positiva, positiva, neutra  , positiva, positiva, positiva, positiva, positiva,   11.402,   11.828,    4.941,    4.787,    3.263,    6.878,    4.495,    3.703
       772, neutra      ,            2, negativa    ,            4, neutra  , negativa, negativa, neutra  , negativa, negativa, negativa, negativa,   15.499,   11.678,    3.434,    7.959,    4.01 ,    8.507,    3.036,    5.491
       773, positiva    ,            3, positiva    ,            4, positiva, positiva, positiva, neutra  , positiva, positiva, positiva, positiva,   22.114,   10.143,    5.157,    9.219,   12.076,    8.552,    4.466,    6.227
       774, positiva    ,            4, positiva    ,            4, positiva, positiva, positiva, positiva, positiva, positiva, positiva, positiva,    5.498,    4.203,    3.62 ,    6.175,   17.189,    4.976,    4.735,    2.023
       775, neutra      ,            2, positiva    ,            4, negativa, positiva, neutra  , neutra  , positiva, positiva, positiva, positiva,  220.439,   13.716,    6.31 ,   21.615,    9.139,   33.677,    5.369,    5.223
       776, positiva    ,            3, positiva    ,            4, positiva, positiva, neutra  , positiva, positiva, positiva, positiva, positiva,    6.106,    4.903,    4.887,    5.125,    3.605,    3.531,    3.577,    3.176
       777, positiva    ,            4, positiva    ,            3, positiva, positiva, positiva, positiva, positiva, neutra  , positiva, positiva,    2.663,    2.752,    1.622,    2.189,    4.354,    2.411,    2.575,    1.408
       778, neutra      ,            3, positiva    ,            3, neutra  , positiva, neutra  , neutra  , positiva, positiva, neutra  , positiva,    5.668,    3.468,    2.221,    2.532,    2.721,    5.827,    2.909,    1.416
       779, neutra      ,            4, neutra      ,            4, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  ,    8.626,   14.684,    3.748,    4.798,   10.483,   11.018,    4.423,    4.808
       780, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,    8.154,    8.074,    3.28 ,    6.386,    2.261,    7.363,    3.303,    3.047
       781, positiva    ,            3, positiva    ,            2, positiva, positiva, positiva, neutra  , positiva, positiva, neutra  , neutra  ,    9.887,    4.739,    3.319,    5.277,   41.767,    3.997,    9.373,    6.263
       782, negativa    ,            2, neutra      ,            2, positiva, negativa, neutra  , negativa, neutra  , positiva, neutra  , positiva,   11.326,   16.541,    4.904,    8.584,   10.462,    9.474,    3.969,    9.743
       783, negativa    ,            4, neutra      ,            2, negativa, negativa, negativa, negativa, neutra  , neutra  , negativa, negativa,    4.678,    5.007,    2.682,    3.381,    9.138,    8.496,    5.034,    2.329
       784, neutra      ,            3, neutra      ,            3, neutra  , positiva, neutra  , neutra  , positiva, neutra  , neutra  , neutra  ,    6.006,   27.974,    4.995,    5.262,   56.794,    4.911,    5.413,    4.743
       785, positiva    ,            3, positiva    ,            3, positiva, positiva, neutra  , positiva, positiva, neutra  , positiva, positiva,    6.14 ,    7.841,    0.352,   86.111,    3.642,    4.361,    2.216,    1.992
       786, negativa    ,            3, negativa    ,            2, negativa, negativa, negativa, neutra  , negativa, negativa, positiva, neutra  ,    6.94 ,    9.143,    3.048,    6.042,    3.226,    6.718,    4.95 ,    4.055
       787, neutra      ,            3, neutra      ,            3, neutra  , positiva, neutra  , neutra  , positiva, neutra  , neutra  , neutra  ,    8.637,    7.191,    3.384,    4.255,    3.124,    4.969,    4.462,    7.954
       788, positiva    ,            4, positiva    ,            3, positiva, positiva, positiva, positiva, positiva, positiva, neutra  , positiva,    4.499,    3.001,    2.119,    3.18 ,    1.915,    4.73 ,    3.035,    1.926
       789, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,   11.866,    9.878,    4.094,    9.867,   10.255,    9.562,    4.13 ,    4.654
       790, positiva    ,            3, positiva    ,            4, positiva, positiva, positiva, negativa, positiva, positiva, positiva, positiva,    8.219,   12.029,    2.916,    9.931,    3.713,   11.183,    4.668,    2.672
       791, positiva    ,            3, positiva    ,            4, positiva, positiva, positiva, neutra  , positiva, positiva, positiva, positiva,    4.598,    2.768,    1.892,    4.029,    1.911,    3.611,    2.171,    1.503
       792, positiva    ,            3, neutra      ,            3, positiva, positiva, positiva, neutra  , positiva, neutra  , neutra  , neutra  ,   10.969,    6.946,   12.559,    6.889,   89.979,  445.04 ,    5.401,   11.783
       793, neutra      ,            2, positiva    ,            4, neutra  , positiva, positiva, neutra  , positiva, positiva, positiva, positiva,    6.522,    3.948,    2.351,    3.531,    1.713,    2.96 ,    2.151,    1.679
       794, neutra      ,            4, neutra      ,            3, neutra  , neutra  , neutra  , neutra  , positiva, neutra  , neutra  , neutra  ,    6.353,    9.926,    2.815,    5.081,    2.973,   12.78 ,    9.181,    3.504
       795, negativa    ,            3, negativa    ,            2, negativa, negativa, negativa, neutra  , negativa, negativa, neutra  , neutra  ,    6.557,    7.257,    3.316,    4.768,    4.92 ,    4.002,    7.124,    6.089
       796, positiva    ,            2, positiva    ,            4, positiva, positiva, neutra  , neutra  , positiva, positiva, positiva, positiva,    5.769,    5.555,    4.327,    8.095,    2.024,    6.47 ,    3.55 ,    3.749
       797, positiva    ,            3, positiva    ,            4, positiva, positiva, positiva, neutra  , positiva, positiva, positiva, positiva,    1.968,    2.552,    2.159,    2.284,    1.491,    2.112,    1.259,    1.639
       798, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,    5.566,    4.886,    2.425,    3.556,    2.374,    3.238,    2.868,    2.703
